State,Population,Rape Cases,Year,Kidnapping Cases,Rape_rate,Kidnap_rate,Rape_norm,Kidnap_norm
Madhya Pradesh,72626809,2947,2021,9511,4.057730252199295,13.095715109829483,4.263871944325215,4.298304718447248
Madhya Pradesh,72626809,3029,2022,10409,4.170636217818685,14.332173123563779,4.388734984231103,4.709866301666044
Maharashtra,112374333,2142,2018,7858,1.9061292225867985,6.9927000145131,1.8844100288432406,2.2668838961172626
Maharashtra,112374333,2299,2019,11755,2.045840841609267,10.460573768210931,2.038917519794833,3.4211839990089827
Maharashtra,112374333,2061,2020,8103,1.8340487057662893,7.210721330822048,1.8046959730019727,2.3394534432582614
Maharashtra,112374333,2496,2021,10502,2.2211477775801347,9.345550464802313,2.232789976593965,3.05004260077359
Maharashtra,112374333,2904,2022,12260,2.584220010453811,10.909964644684477,2.634312628238869,3.5707661267894086
Manipur,2855794,52,2018,203,1.8208596278302989,7.108355854799051,1.7901101328684677,2.3053805536728462
Manipur,2855794,36,2019,129,1.2605951269594375,4.517132538271317,1.1705119712804763,1.4428781809454658
Manipur,2855794,32,2020,81,1.1205290017417222,2.8363390356587344,1.0156124308834784,0.8834171824195978
Manipur,2855794,26,2021,85,0.9104298139151494,2.9764051608764497,0.7832631202879818,0.9300389322967535
Manipur,2855794,42,2022,100,1.4706943147860105,3.5016531304428824,1.4028612818759731,1.1048704943360874
Meghalaya,2966889,87,2018,122,2.9323645070644706,4.112051377722591,3.0193266523857636,1.3080447762396856
Meghalaya,2966889,102,2019,130,3.4379445944893794,4.381694091015875,3.5784491600889137,1.3977967781303406
Meghalaya,2966889,67,2020,91,2.258257723831259,3.067185863711113,2.2738299754482307,0.9602557689133973
Meghalaya,2966889,75,2021,123,2.527900437124544,4.145756716884252,2.572028646223244,1.319263776476018
Meghalaya,2966889,75,2022,139,2.527900437124544,4.685042143470821,2.572028646223244,1.498767780257328
Mizoram,1097206,50,2018,45,4.557029400130878,4.1013264601177895,4.816048342544253,1.3044749307453027
